id,seq,dur,tool,plate,chars,lens,move,height,dir,smooth,hand,kit_state,chain,firstlast,lines,kf_status,clip_status,note
SH-001,1,5,seedance,WP-bedroom-chamber,,macro,locked off,n/a,static,0,,,,,,todo,todo,COLD OPEN. First frame of the film. The stepper-motor melody starts here.
SH-002,1,10,seedance,WP-bedroom-night,KIT,35mm,slow pull out,eye,static,0,,,SH-001,Y,,todo,todo,"THE PLANT. The figurine must be readable in this frame. Do not light it specially, do not centre it. This keyframe is also the source for SH-084 — save it."
SH-003,1,5,higgsfield,WP-bedroom-night,KIT,50mm,locked off,eye,static,0,,,,,,todo,todo,No text in frame — models will try to add UI labels. Reject any with legible type.
SH-004,1,10,higgsfield,WP-bedroom-night,KIT,85mm,slow push in,eye,static,0,,,,,,todo,todo,"THE MOST IMPORTANT SHOT IN SEQ 01. This is where the audience banks that he has real talent, which is the only thing keeping him likeable for the next nine minutes. Do not shorten it."
SH-005,1,5,seedance,WP-bedroom-night,,macro,lateral track,n/a,static,0,,,,,,todo,todo,Character established without a word. The drawings must be visibly GOOD — that's the point.
SH-006,1,5,higgsfield,WP-bedroom-night,KIT,50mm,locked off,eye,static,0,,,,,L-001 L-002,todo,todo,PLANT reinforcement. Tier A lipsync.
SH-007,1,10,higgsfield,WP-bedroom-night,KIT,50mm,handheld follow,eye,static,0,,,,,L-003 L-004 L-005 L-006 L-007 L-008 L-009 L-010,todo,todo,Tier A lipsync. The performance turn at L-010 is the whole shot.
SH-008,1,5,higgsfield,WP-bedroom-night,KIT,35mm,locked off,eye,static,0,,,,,,todo,todo,Chain the last frame into SH-009.
SH-009,1,5,seedance,WP-bedroom-drawer,,35mm,slow push in,high,static,0,,,SH-008,,,todo,todo,"THE DRAWER. One shot, no dialogue, entire character. Do not cut away early."
SH-010,1,5,higgsfield,WP-bedroom-night,KIT,85mm,locked off,eye,static,0,,,,,L-011 L-012,todo,todo,Tier A lipsync.
SH-011,1,10,higgsfield,WP-bedroom-night,KIT,85mm,slow push in,eye,static,0,,,,,L-013,todo,todo,THE SHOT THAT MAKES HIM LIKEABLE. Under no circumstances cut this for time. Tier A lipsync.
SH-012,1,5,seedance,WP-bedroom-chamber,,macro,locked off,n/a,static,0,,,,,L-014,todo,todo,L-014 plays over this shot — Kit off-screen. Tier C.
SH-013,1,10,seedance,WP-bedroom-night,KIT,35mm,slow push in,eye,static,0,,,,Y,,todo,todo,THRESHOLD. The hardest VFX shot in Seq 01 — author both keyframes. The blank white figurine is visible in the pen cup throughout.
SH-014,1,5,seedance,WP-bedroom-night,,35mm,locked off,eye,static,0,,,SH-013,,,todo,todo,Hold the silence. Cut to SEQ 02 on the printer sound bridging into the river.
SH-015,2,5,seedance,WP-raft-river,KIT,35mm,slow pull out,n/a,static,0,,wet,,,,todo,todo,Sound: heavily filtered. The printer motif from SH-014 bridges into here.
SH-016,2,5,seedance,WP-raft-dock,KIT,35mm,handheld follow,toy,L>R,0,,wet,SH-015,,,todo,todo,Camera at toy height from here on — establish the grammar immediately.
SH-017,2,5,seedance,WP-raft-dock,BENCHY,50mm,locked off,toy,static,0,,,,,L-015,todo,todo,"BENCHY first appearance. Tier C — porthole glow only, no mouth."
SH-018,2,5,higgsfield,WP-raft-dock,KIT,50mm,locked off,toy,static,0,,wet,,,L-016 L-017,todo,todo,The joke is entirely in the timing of the cut. Tier A lipsync.
SH-019,2,10,seedance,WP-raft-wide,KIT,18mm,crane up reveal,toy,static,0,building,wet,,Y,,todo,todo,THE REVEAL. The single most important image in the film for making the world feel worth saving. Generate this one many times and pick the best. No dialogue.
SH-020,2,5,seedance,WP-raft-wide,,35mm,lateral track,toy,L>R,0,,,,,,todo,todo,WONDER DISCIPLINE: the world was here first and does not care that he arrived.
SH-021,2,5,higgsfield,WP-raft-dock,KIT,85mm,slow push in,ground,static,0,,wet,,,,todo,todo,The signature Kit angle. Reference image 1d-1 from turnarounds.md.
SH-022,2,5,seedance,WP-raft-wide,,18mm,slow push in,ground,up,0,,,,,,todo,todo,"Newcomers read this as a strange beautiful sky. It should be legible as a desk on the second watch, not the first."
SH-023,2,10,seedance,WP-raft-wide,,18mm,slow push in,toy,static,0,building,,,,,todo,todo,MYSTERY BOX POSED. Everybody watches it the way people watch weather. Nobody explains it.
SH-024,2,5,higgsfield,WP-raft-dock,KIT,85mm,locked off,eye,static,0,,wet,,,L-018,todo,todo,"Tier A lipsync. Delight, NOT fear — this is a key character choice."
SH-025,2,5,higgsfield,WP-raft-market,KIT,35mm,handheld follow,toy,L>R,0,,wet,,,L-019,todo,todo,Tier A lipsync.
SH-026,2,5,higgsfield,WP-raft-market,KIT,50mm,locked off,toy,static,0,,wet,,,L-020,todo,todo,Tier A lipsync. Play it entirely innocent.
SH-027,2,10,seedance,WP-raft-market,,35mm,slow push in,toy,static,0,,,,,,todo,todo,Hold the full ten seconds. The longer it runs the funnier and the more unsettling it gets.
SH-028,2,5,seedance,WP-raft-dock,BENCHY,50mm,locked off,toy,static,0,,,,,L-021 L-022 L-023,todo,todo,Tier C.
SH-029,2,10,seedance,WP-raft-dock,KIT BENCHY,35mm,locked off,toy,static,0,building,wet,,,L-024 L-025 L-026 L-027 L-028 L-029 L-030,todo,todo,"THE PREMISE, delivered in nine seconds. Benchy Tier C, Kit's reactions Tier B — stay wide, cut to his face only after."
SH-030,2,5,seedance,WP-raft-market,,35mm,lateral track,toy,L>R,0,,,,,,todo,todo,"UNEXPLAINED THING 1. Never acknowledged, never explained, never returned to."
SH-031,2,5,seedance,WP-raft-market,,35mm,lateral track,toy,L>R,0,,,,,,todo,todo,UNEXPLAINED THINGS 2 and 3.
SH-032,2,10,seedance,WP-raft-market,KIT,18mm,crane up reveal,toy,L>R,0,building,stained,,,,todo,todo,UNEXPLAINED THING 4. End of the wonder sequence. Kit's hoodie has now dried to the stained state — this is the STATE CHANGE shot.
SH-033,3,10,seedance,WP-raft-market,TOWER KIT,50mm,locked off,toy,static,0,,stained,,,L-031 L-032 L-033 L-034 L-035 L-036,todo,todo,"THE TOWER, first appearance. Tier C entirely — glow animation is a post pass, never a model dependency. Count the blocks: exactly ten."
SH-034,3,5,seedance,WP-raft-market,TOWER,50mm,slow push in,toy,static,0,,,SH-033,,L-037 L-038 L-039 L-040,todo,todo,Tier C. Layer 5's line lands because it comes out of a block that has been asleep.
SH-035,3,10,higgsfield,WP-raft-market,KIT,85mm,slow push in,eye,static,0,,stained,,Y,,todo,todo,"THE PENCIL. Author both keyframes — start on the empty gesture, end on the object in his palm. Permitted Spider-Verse device (halftone), 1 of 12."
